Time (s),Force X (N),Force Y (N),Force Z (N)
0.25002098083496094,-5.645995140075684,-0.9107877016067505,2.8132107257843018
0.27595043182373047,-5.648218154907227,-0.9136191606521606,2.8638789653778076
0.2999303340911865,-5.733048915863037,-0.9187107682228088,2.8071515560150146
0.325054407119751,-5.757543087005615,-0.9298765659332275,2.749502420425415
0.349994421005249,-5.61677360534668,-0.8524596095085144,2.828608751296997
0.3750953674316406,-5.598384380340576,-0.8651547431945801,2.8248775005340576
0.39995598793029785,-5.600143909454346,-0.9188123345375061,2.816154718399048
0.425065279006958,-5.685945987701416,-0.8950744271278381,2.775485038757324
0.4499835968017578,-5.599845886230469,-0.9172277450561523,2.9114584922790527
0.4751603603363037,-5.715480327606201,-0.8689376711845398,2.803816318511963
0.5000944137573242,-5.51953649520874,-0.8988640308380127,2.864281177520752
0.5250117778778076,-5.738111972808838,-0.872319221496582,2.769315481185913
0.5500442981719971,-5.671824932098389,-0.8550335168838501,2.8713865280151367
0.5750937461853027,-5.586585521697998,-0.9235478639602661,2.8381426334381104
0.6000032424926758,-5.6678619384765625,-0.9346176385879517,2.8497872352600098
0.6250629425048828,-5.5837626457214355,-0.9064320921897888,2.878039598464966
0.6500232219696045,-5.658206939697266,-0.9248425364494324,2.851959466934204
0.6752042770385742,-5.737515449523926,-0.9376371502876282,2.824598550796509
0.7001261711120605,-5.74553108215332,-0.9063881635665894,2.7986350059509277
0.7250814437866211,-5.647298812866211,-0.845328688621521,2.824209690093994
0.7500786781311035,-5.602552890777588,-0.8986462354660034,2.832613229751587
0.7750651836395264,-5.642317771911621,-0.9574195742607117,2.8621249198913574
0.800039529800415,-5.681717395782471,-0.8938499093055725,2.8257839679718018
0.8250477313995361,-5.496779441833496,-0.8473476767539978,2.8743338584899902
0.8500754833221436,-5.66953706741333,-0.9186886548995972,2.8491315841674805
0.8752310276031494,-5.649501800537109,-0.8793548345565796,2.8509819507598877
0.9000358581542969,-5.652066707611084,-0.8884024620056152,2.7432117462158203
0.9251799583435059,-5.454647541046143,-0.9761984944343567,2.894169330596924
0.9500174522399902,-5.47177267074585,-0.9238319396972656,2.909306526184082
0.9751019477844238,-5.655867576599121,-0.8473629951477051,2.8048994541168213
1.0000371932983398,-5.615297317504883,-0.8780971765518188,2.832063674926758
1.025085687637329,-5.642894268035889,-0.862560510635376,2.81301212310791
1.0501229763031006,-5.7800822257995605,-0.9161644577980042,2.821320056915283
1.0749776363372803,-5.740591526031494,-0.9320858716964722,2.783630132675171
1.1001629829406738,-5.7240753173828125,-0.9203709959983826,2.820923328399658
1.1250860691070557,-5.6671576499938965,-0.9382495284080505,2.836754322052002
1.1501350402832031,-5.719809532165527,-0.9080063104629517,2.8267369270324707
1.175144910812378,-5.72714376449585,-0.8807593584060669,2.7843315601348877
1.2000236511230469,-5.699522495269775,-0.8932032585144043,2.794013738632202
1.2258920669555664,-5.674657821655273,-0.932653546333313,2.8435847759246826
1.2501389980316162,-5.580472469329834,-0.9231449365615845,2.881988525390625
1.27498197555542,-5.558840751647949,-0.8694639801979065,2.814936637878418
1.300032138824463,-5.663555145263672,-0.9203678369522095,2.8078997135162354
1.3250114917755127,-5.751065254211426,-0.9726285934448242,2.7721335887908936
1.3501179218292236,-5.6402907371521,-0.8909705877304077,2.8779988288879395
1.375152587890625,-5.771059989929199,-0.9303760528564453,2.7876429557800293
1.400148868560791,-5.645956993103027,-0.9124281406402588,2.825340509414673
1.4251186847686768,-5.646076679229736,-0.9366191625595093,2.8297531604766846
1.4500579833984375,-5.652844429016113,-0.9574602246284485,2.8725249767303467
1.4750940799713135,-5.667926788330078,-0.8772004842758179,2.819451332092285
1.500257968902588,-5.723392963409424,-0.918907880783081,2.7613770961761475
1.5250043869018555,-5.682305335998535,-0.9668874740600586,2.763300657272339
1.5501596927642822,-5.6049885749816895,-0.8631575107574463,2.8317711353302
1.5750575065612793,-5.781076431274414,-0.9089067578315735,2.7776596546173096
1.6001009941101074,-5.656861782073975,-0.8934656977653503,2.814323663711548
1.6251025199890137,-5.739173412322998,-0.8979457020759583,2.8647654056549072
1.6499457359313965,-5.678053379058838,-0.9092159271240234,2.7946178913116455
1.6750993728637695,-5.7934465408325195,-0.924723744392395,2.747645854949951
1.7000293731689453,-5.658764362335205,-0.9309554696083069,2.8217897415161133
1.7252106666564941,-5.651334762573242,-0.9329620003700256,2.8294665813446045
1.7501769065856934,-5.528998851776123,-0.8798286318778992,2.8382396697998047
1.7751438617706299,-5.655736923217773,-0.8927367925643921,2.7548890113830566
1.8002245426177979,-5.567127704620361,-0.895526111125946,2.870741128921509
1.8250102996826172,-5.669949531555176,-0.9256705045700073,2.7819888591766357
1.8501269817352295,-5.5867509841918945,-0.9032458662986755,2.828742265701294
1.874915599822998,-5.6618146896362305,-0.930388331413269,2.884005546569824
1.900151252746582,-5.667600631713867,-0.8739433884620667,2.8711583614349365
1.9250831604003906,-5.665216445922852,-0.9418407082557678,2.7718870639801025
1.950028419494629,-5.618637561798096,-0.8435445427894592,2.7970468997955322
1.97591233253479,-5.611897945404053,-0.8207986950874329,2.8454785346984863
2.000290632247925,-5.660770893096924,-0.8492977619171143,2.7960143089294434
